order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
01A,The First Section,Intro,the-first-section/intro,info-circle,/lessons/the-first-section/intro,""
01B,The First Section,React 19,the-first-section/react-19,info-circle,/lessons/the-first-section/react-19,""
02A,React Render Modes,Client-Side React,react-render-modes/client-side-react,dumpster-fire,/lessons/react-render-modes/client-side-react,""
02B,React Render Modes,Static Site Generation,react-render-modes/static-site-generation,dumpster-fire,/lessons/react-render-modes/static-site-generation,""
02C,React Render Modes,Server Side Rendering,react-render-modes/server-side-rendering,dumpster-fire,/lessons/react-render-modes/server-side-rendering,""
03A,RSCs without a Framework,Intro to React Server Components,rscs-without-a-framework/intro-to-react-server-components,file-code,/lessons/rscs-without-a-framework/intro-to-react-server-components,""
03B,RSCs without a Framework,Rsc Dependencies,rscs-without-a-framework/rsc-dependencies,file-code,/lessons/rscs-without-a-framework/rsc-dependencies,""
03C,RSCs without a Framework,Server and Client Components,rscs-without-a-framework/server-and-client-components,file-code,/lessons/rscs-without-a-framework/server-and-client-components,""
03D,RSCs without a Framework,The Rsc Server,rscs-without-a-framework/the-rsc-server,file-code,/lessons/rscs-without-a-framework/the-rsc-server,""
04A,RSCs with Next.js,Abbreviated Intro to Next.js,rscs-with-nextjs/abbreviated-intro-to-nextjs,info-circle,/lessons/rscs-with-nextjs/abbreviated-intro-to-nextjs,""
04B,RSCs with Next.js,Server Components,rscs-with-nextjs/server-components,info-circle,/lessons/rscs-with-nextjs/server-components,""
04C,RSCs with Next.js,Server Actions,rscs-with-nextjs/server-actions,info-circle,/lessons/rscs-with-nextjs/server-actions,""
04D,RSCs with Next.js,Server and Client Components Together,rscs-with-nextjs/server-and-client-components-together,info-circle,/lessons/rscs-with-nextjs/server-and-client-components-together,""
04E,RSCs with Next.js,Limitations of RSCs,rscs-with-nextjs/limitations-of-rscs,info-circle,/lessons/rscs-with-nextjs/limitations-of-rscs,""
